EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Rm242,32.0,26-35,No,Non-Travel,976.0,Sales,26.0,4.0,Marketing,333.0,3.0,Male,100.0,3.0,2.0,Sales Executive,4.0,Married,4465.0,Upto 5K,12069.0,0.0,Unknown,No,18.0,3.0,1.0,80.0,0.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0
Rm1466,36.0,36-45,No,Travel_Frequently,884.0,Research & Development,23.0,2.0,Medical,2061.0,3.0,Male,41.0,4.0,2.0,Laboratory Technician,3.0,Married,2571.0,Upto 5K,12290.0,4.0,Y,Unknown,17.0,3.0,3.0,80.0,1.0,17.0,3.0,3.0,0.0,2.0,0.0,2.0
Rm230,29.0,26-35,Yes,Travel_Rarely,896.0,Research & Development,18.0,1.0,Medical,315.0,3.0,Male,0.0,2.0,1.0,Research Scientist,4.0,Single,2389.0,Upto 5K,14961.0,1.0,Y,Yes,13.0,3.0,3.0,80.0,0.0,4.0,3.0,2.0,4.0,3.0,0.0,1.0
Rm568,34.0,Unknown,No,Travel_Rarely,304.0,Unknown,2.0,3.0,Other,786.0,4.0,Unknown,60.0,3.0,2.0,Sales Executive,4.0,Single,6274.0,5K-10K,18686.0,1.0,Unknown,No,22.0,4.0,3.0,80.0,0.0,6.0,5.0,3.0,6.0,5.0,1.0,0.0
Rm859,53.0,46-55,No,Travel_Rarely,1223.0,Research & Development,7.0,2.0,Medical,1201.0,4.0,Female,50.0,3.0,5.0,Manager,3.0,Divorced,18606.0,15K+,18640.0,3.0,Unknown,No,18.0,3.0,2.0,80.0,1.0,26.0,6.0,3.0,7.0,7.0,4.0,0.0
Rm1088,34.0,26-35,No,Travel_Rarely,1440.0,Sales,7.0,2.0,Technical Degree,1541.0,2.0,Male,55.0,3.0,1.0,Sales Representative,3.0,Married,2308.0,Upto 5K,4944.0,0.0,Unknown,Yes,25.0,4.0,2.0,80.0,1.0,12.0,4.0,3.0,11.0,10.0,5.0,7.0
Rm330,35.0,46-55,No,Travel_Rarely,1482.0,Research & Development,5.0,5.0,Life Sciences,447.0,4.0,Male,42.0,3.0,5.0,Research Director,3.0,Married,18300.0,15K+,16375.0,4.0,Y,No,11.0,3.0,2.0,80.0,1.0,21.0,2.0,3.0,3.0,2.0,1.0,1.0
Rm739,39.0,36-45,No,Travel_Rarely,466.0,Research & Development,1.0,1.0,Unknown,1026.0,4.0,Female,65.0,2.0,4.0,Manufacturing Director,4.0,Unknown,12742.0,10K-15K,7060.0,1.0,Y,No,16.0,3.0,3.0,80.0,1.0,21.0,3.0,3.0,21.0,6.0,11.0,8.0
Rm1195,47.0,46-55,No,Travel_Rarely,1225.0,Sales,2.0,4.0,Life Sciences,1676.0,2.0,Female,47.0,4.0,4.0,Manager,2.0,Divorced,15972.0,15K+,21086.0,6.0,Y,No,14.0,3.0,3.0,80.0,3.0,29.0,2.0,3.0,3.0,2.0,1.0,2.0
Rm1133,35.0,36-45,No,Travel_Rarely,118.0,Sales,14.0,2.0,Life Sciences,1598.0,4.0,Female,84.0,3.0,2.0,Sales Executive,3.0,Married,4639.0,Upto 5K,11262.0,0.0,Unknown,No,15.0,3.0,3.0,80.0,1.0,5.0,2.0,3.0,5.0,4.0,1.0,2.0
Rm1097,40.0,36-45,No,Travel_Rarely,898.0,Human Resources,6.0,2.0,Medical,1550.0,3.0,Male,38.0,3.0,4.0,Manager,4.0,Single,16437.0,15K+,17381.0,1.0,Y,Yes,21.0,4.0,4.0,80.0,0.0,21.0,2.0,3.0,21.0,7.0,7.0,7.0
Rm680,31.0,26-35,No,Non-Travel,1188.0,Sales,20.0,2.0,Marketing,947.0,3.0,Female,45.0,3.0,2.0,Sales Executive,3.0,Married,6932.0,5K-10K,24406.0,1.0,Y,No,13.0,3.0,4.0,80.0,1.0,9.0,2.0,2.0,9.0,8.0,0.0,0.0
Rm1079,35.0,36-45,No,Travel_Rarely,136.0,Research & Development,28.0,3.0,Life Sciences,1523.0,4.0,Male,32.0,3.0,4.0,Research Director,1.0,Married,16328.0,15K+,22074.0,3.0,Y,No,13.0,3.0,3.0,80.0,1.0,24.0,1.0,4.0,20.0,6.0,14.0,0.0
Rm1404,39.0,36-45,No,Travel_Rarely,0.0,Sales,15.0,4.0,Marketing,1975.0,2.0,Male,77.0,3.0,4.0,Sales Executive,1.0,Single,13341.0,10K-15K,25098.0,0.0,Y,No,12.0,3.0,1.0,80.0,0.0,21.0,3.0,3.0,20.0,8.0,11.0,10.0
Rm982,35.0,26-35,Yes,Travel_Frequently,662.0,Sales,18.0,4.0,Marketing,1380.0,4.0,Female,67.0,3.0,2.0,Sales Executive,3.0,Married,4614.0,Upto 5K,23288.0,0.0,Y,Yes,18.0,3.0,3.0,80.0,1.0,5.0,0.0,3.0,4.0,2.0,3.0,2.0
Rm881,32.0,26-35,No,Travel_Frequently,116.0,Research & Development,13.0,3.0,Other,1234.0,3.0,Female,77.0,3.0,0.0,Laboratory Technician,2.0,Married,2743.0,Upto 5K,7331.0,1.0,Y,No,20.0,4.0,3.0,80.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
Rm087,23.0,18-25,No,Travel_Rarely,541.0,Sales,2.0,1.0,Technical Degree,113.0,3.0,Male,62.0,3.0,1.0,Sales Representative,3.0,Divorced,2322.0,Upto 5K,9518.0,3.0,Y,No,13.0,3.0,3.0,80.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
Rm424,30.0,26-35,No,Non-Travel,1398.0,Sales,22.0,3.0,Unknown,567.0,3.0,Female,69.0,3.0,3.0,Sales Executive,1.0,Married,8412.0,5K-10K,2890.0,0.0,Y,No,0.0,3.0,3.0,80.0,0.0,10.0,3.0,3.0,9.0,8.0,7.0,8.0
Rm1442,56.0,55+,No,Non-Travel,667.0,Research & Development,1.0,4.0,Life Sciences,2026.0,3.0,Male,57.0,3.0,2.0,Healthcare Representative,3.0,Divorced,6306.0,5K-10K,26236.0,1.0,Y,No,21.0,4.0,1.0,80.0,1.0,13.0,2.0,2.0,13.0,0.0,1.0,9.0
Rm534,40.0,36-45,No,Travel_Frequently,580.0,Unknown,5.0,4.0,Life Sciences,729.0,4.0,Male,0.0,2.0,3.0,Sales Executive,1.0,Married,10475.0,10K-15K,23772.0,5.0,Y,Unknown,21.0,4.0,3.0,80.0,1.0,20.0,2.0,3.0,18.0,13.0,1.0,12.0
Rm838,40.0,36-45,No,Travel_Frequently,593.0,Research & Development,9.0,4.0,Medical,1166.0,2.0,Female,88.0,3.0,3.0,Research Director,3.0,Single,13499.0,10K-15K,13782.0,9.0,Y,No,17.0,0.0,3.0,80.0,0.0,20.0,3.0,2.0,18.0,7.0,2.0,13.0
Rm856,37.0,36-45,No,Travel_Rarely,977.0,Unknown,1.0,3.0,Life Sciences,1196.0,4.0,Female,56.0,2.0,2.0,Manufacturing Director,4.0,Married,6474.0,5K-10K,9961.0,1.0,Y,No,0.0,3.0,2.0,80.0,1.0,14.0,2.0,2.0,14.0,0.0,3.0,11.0
Rm1462,50.0,46-55,Yes,Travel_Rarely,0.0,Sales,0.0,3.0,Marketing,2055.0,4.0,Male,39.0,2.0,3.0,Sales Executive,1.0,Divorced,10854.0,10K-15K,16586.0,4.0,Y,Yes,13.0,3.0,2.0,80.0,1.0,20.0,3.0,3.0,3.0,2.0,2.0,0.0
Rm1006,29.0,26-35,No,Travel_Rarely,332.0,Human Resources,17.0,3.0,Unknown,1419.0,2.0,Unknown,51.0,2.0,3.0,Human Resources,1.0,Single,7988.0,5K-10K,9769.0,1.0,Y,No,13.0,3.0,1.0,80.0,0.0,10.0,3.0,3.0,10.0,9.0,0.0,9.0
Rm775,55.0,46-55,No,Non-Travel,444.0,Research & Development,0.0,1.0,Medical,1419.0,3.0,Unknown,40.0,2.0,4.0,Manager,1.0,Single,16756.0,15K+,17323.0,7.0,Y,No,15.0,0.0,2.0,80.0,0.0,31.0,3.0,4.0,0.0,7.0,6.0,2.0
Rm679,48.0,46-55,No,Travel_Rarely,1469.0,Research & Development,20.0,4.0,Medical,945.0,4.0,Male,51.0,3.0,1.0,Research Scientist,3.0,Married,2259.0,Upto 5K,5543.0,4.0,Y,Unknown,17.0,3.0,1.0,80.0,2.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0
Rm931,51.0,46-55,No,Travel_Frequently,968.0,Research & Development,6.0,2.0,Medical,1297.0,2.0,Female,40.0,2.0,1.0,Laboratory Technician,3.0,Unknown,0.0,Upto 5K,4257.0,0.0,Y,No,14.0,3.0,2.0,80.0,0.0,8.0,6.0,2.0,7.0,0.0,7.0,7.0
Rm512,36.0,36-45,No,Travel_Rarely,913.0,Research & Development,9.0,2.0,Medical,699.0,2.0,Male,48.0,2.0,2.0,Manufacturing Director,2.0,Divorced,8847.0,5K-10K,13934.0,2.0,Y,Yes,11.0,3.0,3.0,80.0,1.0,13.0,2.0,3.0,3.0,2.0,0.0,2.0
Rm251,37.0,36-45,Yes,Unknown,504.0,Research & Development,10.0,3.0,Medical,342.0,1.0,Male,61.0,3.0,3.0,Manufacturing Director,3.0,Divorced,10048.0,10K-15K,22573.0,6.0,Y,No,11.0,3.0,2.0,80.0,2.0,17.0,5.0,3.0,1.0,0.0,0.0,0.0
Rm794,28.0,26-35,No,Unknown,895.0,Research & Development,15.0,2.0,Life Sciences,1102.0,1.0,Male,50.0,3.0,1.0,Laboratory Technician,3.0,Divorced,2207.0,Upto 5K,22482.0,1.0,Y,No,16.0,3.0,4.0,80.0,1.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0
Rm1025,47.0,46-55,No,Travel_Rarely,359.0,Research & Development,2.0,4.0,Medical,1443.0,1.0,Female,82.0,3.0,4.0,Research Director,3.0,Married,17169.0,15K+,26703.0,3.0,Y,No,19.0,3.0,2.0,80.0,2.0,26.0,2.0,4.0,20.0,17.0,5.0,6.0
Rm023,34.0,26-35,No,Travel_Rarely,419.0,Research & Development,7.0,3.0,Life Sciences,28.0,1.0,Female,53.0,3.0,3.0,Unknown,2.0,Single,11994.0,10K-15K,21293.0,0.0,Y,No,11.0,3.0,3.0,80.0,0.0,13.0,4.0,3.0,12.0,6.0,2.0,0.0
Rm1358,42.0,36-45,No,Travel_Rarely,1396.0,Research & Development,6.0,3.0,Medical,1911.0,3.0,Male,83.0,3.0,3.0,Research Director,1.0,Married,13348.0,10K-15K,14842.0,9.0,Y,Unknown,13.0,3.0,2.0,80.0,1.0,18.0,3.0,4.0,13.0,7.0,5.0,7.0
Rm1322,47.0,46-55,Unknown,Travel_Rarely,207.0,Research & Development,9.0,4.0,Life Sciences,1911.0,3.0,Female,64.0,3.0,1.0,Laboratory Technician,3.0,Single,2105.0,Upto 5K,5411.0,4.0,Y,No,12.0,3.0,3.0,80.0,0.0,7.0,2.0,3.0,2.0,2.0,2.0,0.0
Rm037,50.0,46-55,Yes,Travel_Rarely,869.0,Sales,3.0,2.0,Marketing,47.0,1.0,Male,86.0,2.0,1.0,Sales Representative,3.0,Married,2683.0,Upto 5K,3810.0,1.0,Y,Yes,14.0,3.0,3.0,80.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0
Rm649,37.0,36-45,No,Travel_Frequently,1231.0,Sales,21.0,2.0,Medical,900.0,3.0,Female,54.0,3.0,0.0,Sales Representative,4.0,Married,2973.0,Upto 5K,21222.0,5.0,Y,No,0.0,3.0,2.0,80.0,1.0,10.0,3.0,3.0,5.0,4.0,0.0,0.0
Rm901,35.0,36-45,No,Travel_Frequently,469.0,Research & Development,3.0,3.0,Technical Degree,1257.0,3.0,Male,46.0,3.0,1.0,Research Scientist,2.0,Married,3692.0,Unknown,9256.0,1.0,Y,No,12.0,3.0,3.0,80.0,0.0,12.0,2.0,2.0,11.0,10.0,0.0,7.0
Rm677,35.0,26-35,No,Travel_Rarely,1137.0,Research & Development,21.0,1.0,Life Sciences,942.0,4.0,Female,51.0,3.0,2.0,Healthcare Representative,4.0,Married,4014.0,Unknown,19170.0,1.0,Y,Yes,25.0,4.0,4.0,80.0,1.0,10.0,2.0,1.0,10.0,6.0,0.0,7.0
Rm1193,35.0,46-55,Unknown,Travel_Rarely,464.0,Research & Development,16.0,3.0,Medical,1674.0,4.0,Female,74.0,3.0,1.0,Laboratory Technician,1.0,Divorced,2587.0,Upto 5K,24941.0,4.0,Y,Yes,16.0,3.0,2.0,80.0,1.0,17.0,2.0,2.0,2.0,0.0,2.0,2.0
Rm183,41.0,36-45,Yes,Travel_Rarely,1356.0,Sales,20.0,2.0,Marketing,248.0,2.0,Female,70.0,3.0,1.0,Sales Representative,2.0,Single,0.0,Upto 5K,21728.0,1.0,Y,Yes,22.0,4.0,4.0,80.0,0.0,4.0,5.0,2.0,4.0,0.0,0.0,0.0
Rm415,24.0,18-25,Yes,Travel_Rarely,0.0,Sales,1.0,1.0,Technical Degree,554.0,1.0,Female,62.0,3.0,1.0,Sales Representative,2.0,Single,3202.0,Upto 5K,0.0,1.0,Y,Yes,16.0,3.0,2.0,80.0,0.0,6.0,4.0,3.0,5.0,3.0,1.0,4.0
Rm991,33.0,26-35,Unknown,Travel_Frequently,1111.0,Sales,5.0,1.0,Unknown,1395.0,2.0,Male,0.0,3.0,2.0,Sales Executive,4.0,Married,9998.0,5K-10K,19293.0,6.0,Y,No,13.0,3.0,1.0,80.0,0.0,8.0,2.0,4.0,5.0,4.0,1.0,2.0
Rm863,44.0,36-45,No,Non-Travel,111.0,Research & Development,17.0,3.0,Life Sciences,1206.0,4.0,Male,74.0,1.0,1.0,Research Scientist,3.0,Single,2290.0,Upto 5K,4279.0,2.0,Y,No,0.0,3.0,4.0,80.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0
Rm342,38.0,36-45,No,Travel_Rarely,343.0,Research & Development,15.0,2.0,Life Sciences,461.0,3.0,Male,92.0,2.0,3.0,Research Director,4.0,Divorced,11510.0,10K-15K,15682.0,0.0,Y,Yes,14.0,3.0,2.0,80.0,1.0,12.0,3.0,3.0,11.0,0.0,2.0,9.0
Rm1367,35.0,36-45,No,Non-Travel,1251.0,Sales,21.0,4.0,Life Sciences,1929.0,3.0,Female,32.0,1.0,2.0,Sales Executive,3.0,Married,5736.0,5K-10K,3987.0,6.0,Y,No,19.0,3.0,3.0,80.0,1.0,10.0,1.0,3.0,3.0,2.0,1.0,2.0
Rm289,26.0,26-35,Yes,Travel_Rarely,1449.0,Research & Development,16.0,4.0,Medical,394.0,1.0,Male,45.0,3.0,1.0,Laboratory Technician,2.0,Divorced,2373.0,Upto 5K,14180.0,2.0,Y,Yes,13.0,3.0,4.0,0.0,1.0,5.0,2.0,3.0,3.0,2.0,0.0,2.0
Rm249,35.0,36-45,No,Unknown,1017.0,Research & Development,0.0,2.0,Medical,340.0,3.0,Female,83.0,2.0,1.0,Research Scientist,1.0,Married,3920.0,Upto 5K,18697.0,2.0,Y,No,14.0,3.0,1.0,80.0,1.0,17.0,2.0,2.0,3.0,1.0,0.0,0.0
Rm341,37.0,36-45,No,Travel_Rarely,1192.0,Research & Development,5.0,2.0,Medical,460.0,4.0,Male,61.0,3.0,2.0,Unknown,4.0,Divorced,6347.0,5K-10K,0.0,7.0,Y,No,16.0,3.0,3.0,80.0,2.0,0.0,2.0,2.0,6.0,2.0,0.0,4.0
Rm1370,28.0,26-35,Yes,Travel_Rarely,1475.0,Sales,13.0,2.0,Marketing,1933.0,4.0,Female,84.0,3.0,2.0,Sales Executive,3.0,Single,9854.0,5K-10K,23352.0,3.0,Unknown,Yes,11.0,3.0,4.0,80.0,0.0,6.0,0.0,3.0,2.0,0.0,0.0,2.0
Rm596,58.0,55+,Yes,Travel_Rarely,286.0,Research & Development,0.0,4.0,Life Sciences,825.0,4.0,Male,31.0,3.0,5.0,Research Director,2.0,Single,19246.0,15K+,25761.0,7.0,Y,Yes,12.0,3.0,4.0,80.0,0.0,40.0,2.0,3.0,31.0,15.0,13.0,8.0
Rm519,38.0,36-45,No,Travel_Rarely,243.0,Sales,7.0,4.0,Marketing,709.0,4.0,Unknown,46.0,2.0,2.0,Sales Executive,4.0,Single,4028.0,Upto 5K,7791.0,0.0,Y,No,20.0,4.0,1.0,80.0,0.0,8.0,2.0,3.0,7.0,7.0,0.0,5.0
Rm336,40.0,36-45,No,Travel_Rarely,1124.0,Unknown,1.0,2.0,Medical,453.0,2.0,Male,57.0,1.0,2.0,Sales Executive,4.0,Married,7457.0,5K-10K,13273.0,2.0,Y,Yes,22.0,4.0,3.0,80.0,0.0,6.0,2.0,2.0,4.0,0.0,0.0,2.0
Rm560,38.0,36-45,No,Travel_Rarely,268.0,Research & Development,2.0,5.0,Medical,453.0,4.0,Male,92.0,3.0,1.0,Research Scientist,3.0,Married,3057.0,Upto 5K,20471.0,6.0,Y,Yes,13.0,3.0,2.0,80.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0
Rm1396,31.0,Unknown,Unknown,Unknown,754.0,Sales,26.0,4.0,Marketing,1967.0,1.0,Unknown,63.0,3.0,2.0,Sales Executive,4.0,Married,5617.0,5K-10K,21075.0,1.0,Y,Unknown,11.0,3.0,3.0,80.0,0.0,10.0,4.0,3.0,10.0,7.0,0.0,8.0
Rm1419,38.0,36-45,No,Travel_Frequently,508.0,Research & Development,6.0,3.0,Life Sciences,1997.0,1.0,Male,72.0,2.0,2.0,Manufacturing Director,3.0,Married,5321.0,5K-10K,14284.0,2.0,Y,No,11.0,3.0,4.0,80.0,1.0,10.0,1.0,3.0,8.0,3.0,7.0,7.0
