EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
,34.0,26-35,,Non-Travel,1381.0,Sales,unknown,4.0,Marketing,1.0,523.0,3.0,Female,72.0,3.0,,Sales Executive,3.0,,6538.0,,12740.0,9.0,Y,No,15.0,3.0,1.0,80.0,1.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0
RM1313,31.0,26-35,  Yes ,Travel_Rarely,359.0,Human Resources,18.0,5.0,Human Resources,1.0,1842.0,4.0,Male,89.0,4.0,1.0,Human Resources,1.0,Married,2956.0,Upto 5k,21495.0,0.0,y,no,17.0,3.0,3.0,80.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0
RM1218,24.0,,No,Travel_Rarely,,Research & Development,9.0,3.0,Medical,1.0,1707.0,3.0,Male,62.0,4.0,1.0,Research Scientist,3.0,Married,4401.0,Upto 5k,17616.0,1.0,Y,No,16.0,3.0,4.0,80.0,1.0,5.0,1.0,3.0,5.0,3.0,0.0,4.0
  RM100 ,44.0,36-45,No,,489.0,  Research & Development ,23.0,3.0,Medical,1.0,132.0,2.0,Male,67.0,3.0,2.0,Laboratory Technician,,Married,2042.0,upto 5k,25043.0,4.0,Y,No,12.0,3.0,3.0,80.0,1.0,17.0,3.0,4.0,3.0,2.0,1.0,2.0
RM861,22.0,18-25,yes,Travel_Frequently,1256.0,Research & Development,3.0,4.0,  Life Sciences ,1.0,1203.0,,Male,48.0,2.0,1.0,research scientist,4.0,Married,2853.0,Upto 5k,4223.0,0.0,Y,Yes,11.0,3.0,2.0,80.0,1.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0
RM081,30.0,26-35,No,Travel_Rarely,852.0,Research & Development,,1.0,Life Sciences,1.0,104.0,4.0,  Male ,55.0,2.0,2.0,  Laboratory Technician ,4.0,Married,5126.0,5k-10k,15998.0,1.0,Y,Yes,12.0,3.0,3.0,80.0,2.0,10.0,1.0,2.0,10.0,8.0,3.0,0.0
RM248,34.0,26-35,  No ,Travel_Rarely,470.0,Research & Development,2.0,4.0,Life Sciences,1.0,339.0,4.0,Male,84.0,2.0,2.0,Manufacturing Director,1.0,Married,5957.0,5k-10k,23687.0,,Y,No,13.0,3.0,2.0,80.0,1.0,13.0,3.0,3.0,11.0,9.0,5.0,9.0
RM1191,32.0,,No,travel_rarely,977.0,Research & Development,2.0,3.0,Medical,1.0,1671.0,4.0,Male,45.0,3.0,2.0,Research Scientist,2.0,Divorced,5470.0,  5k-10k ,,0.0,Y,No,13.0,,3.0,80.0,2.0,10.0,4.0,2.0,9.0,5.0,1.0,6.0
RM250,45.0,36-45,No,Travel_Frequently,1199.0,Research & Development,7.0,4.0,Life Sciences,1.0,341.0,1.0,male,77.0,4.0,2.0,Manufacturing Director,3.0,Married,6434.0,  5k-10k ,5118.0,4.0,Y,No,17.0,3.0,4.0,80.0,1.0,9.0,1.0,3.0,3.0,2.0,0.0,
  RM453 ,45.0,36-45,No,Travel_Rarely,561.0,sales,2.0,,Other,1.0,606.0,4.0,Male,61.0,3.0,2.0,Sales Executive,2.0,Married,4805.0,Upto 5k,16177.0,0.0,Y,No,19.0,3.0,2.0,80.0,1.0,9.0,3.0,4.0,8.0,7.0,3.0,7.0
RM501,32.0,,No,Travel_Rarely,646.0,Research & Development,9.0,4.0,Life Sciences,1.0,679.0,1.0,Female,92.0,3.0,2.0,Research Scientist,4.0,Married,6322.0,5k-10k,18089.0,1.0,Y,Yes,12.0,3.0,4.0,80.0,1.0,6.0,2.0,2.0,6.0,,0.0,5.0
RM1332,48.0,46-55,No,  Travel_Rarely ,1224.0,,,3.0,Life Sciences,1.0,1867.0,4.0,Male,91.0,2.0,5.0,Research Director,2.0,  Married ,19665.0,  15k+ ,13583.0,4.0,,  No ,12.0,3.0,,80.0,0.0,29.0,3.0,3.0,22.0,10.0,12.0,9.0
RM1180,34.0,26-35,No,Travel_Rarely,1130.0,Research & Development,3.0,,Life Sciences,1.0,1658.0,4.0,Female,66.0,3.0,2.0,Research Scientist,2.0,Divorced,5433.0,5k-10k,19332.0,1.0,Y,No,12.0,3.0,,80.0,1.0,11.0,2.0,3.0,11.0,8.0,7.0,9.0
RM171,27.0,26-35,no,Travel_Rarely,1157.0,Research & Development,17.0,3.0,  Technical Degree ,1.0,233.0,3.0,Male,51.0,3.0,1.0,Research Scientist,2.0,  Married ,3058.0,Upto 5k,13364.0,0.0,Y,Yes,16.0,3.0,,80.0,1.0,6.0,3.0,2.0,5.0,2.0,1.0,1.0
RM242,32.0,26-35,No,Non-Travel,976.0,Sales,26.0,4.0,Marketing,1.0,333.0,3.0,  Male ,100.0,3.0,2.0,Sales Executive,4.0,married,4465.0,  upto 5k ,12069.0,,nan,No,18.0,3.0,1.0,80.0,0.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0
RM1466,36.0,36-45,No,Travel_Frequently,884.0,Research & Development,23.0,2.0,Medical,1.0,2061.0,3.0,Male,41.0,4.0,2.0,Laboratory Technician,,Married,2571.0,Upto 5k,12290.0,4.0,Y,,17.0,3.0,3.0,80.0,1.0,17.0,3.0,3.0,,2.0,0.0,2.0
RM230,29.0,  26-35 ,Yes,Travel_Rarely,896.0,Research & Development,18.0,1.0,Medical,1.0,315.0,3.0,Male,,2.0,1.0,Research Scientist,4.0,single,2389.0,Upto 5k,14961.0,1.0,Y,Yes,13.0,3.0,3.0,80.0,0.0,4.0,3.0,2.0,4.0,3.0,0.0,1.0
RM568,34.0,,no,travel_rarely,304.0,,2.0,3.0,Other,1.0,786.0,4.0,  nan ,60.0,3.0,2.0,Sales Executive,4.0,Single,6274.0,5k-10k,18686.0,1.0,,No,22.0,4.0,3.0,80.0,,6.0,5.0,3.0,6.0,5.0,1.0,
RM859,53.0,46-55,No,Travel_Rarely,1223.0,  Research & Development ,7.0,2.0,Medical,1.0,1201.0,4.0,Female,50.0,3.0,5.0,Manager,3.0,divorced,18606.0,  15k+ ,18640.0,3.0,,No,18.0,3.0,2.0,80.0,1.0,26.0,6.0,3.0,7.0,7.0,4.0,
rm1088,34.0,26-35,No,Travel_Rarely,1440.0,Sales,7.0,2.0,Technical Degree,1.0,1541.0,2.0,male,55.0,3.0,1.0,  sales representative ,3.0,  Married ,2308.0,  Upto 5k ,4944.0,0.0,nan,yes,25.0,4.0,2.0,80.0,1.0,12.0,4.0,3.0,11.0,10.0,5.0,7.0
RM330,,46-55,No,Travel_Rarely,1482.0,Research & Development,5.0,5.0,life sciences,unknown,447.0,4.0,Male,42.0,3.0,5.0,Research Director,3.0,Married,18300.0,15k+,16375.0,4.0,Y,No,11.0,3.0,2.0,80.0,1.0,21.0,2.0,3.0,3.0,2.0,1.0,1.0
RM739,39.0,36-45,No,Travel_Rarely,466.0,Research & Development,1.0,1.0,,1.0,1026.0,4.0,Female,65.0,2.0,4.0,Manufacturing Director,4.0,,12742.0,10k-15k,7060.0,1.0,Y,No,16.0,3.0,3.0,80.0,1.0,21.0,3.0,3.0,21.0,6.0,11.0,8.0
RM1195,47.0,46-55,No,Travel_Rarely,1225.0,Sales,2.0,4.0,Life Sciences,1.0,1676.0,2.0,Female,47.0,4.0,4.0,Manager,2.0,divorced,15972.0,  15k+ ,21086.0,6.0,Y,No,14.0,3.0,3.0,80.0,3.0,29.0,2.0,3.0,3.0,2.0,1.0,2.0
RM1133,unknown,36-45,No,Travel_Rarely,118.0,Sales,14.0,2.0,Life Sciences,1.0,1598.0,4.0,Female,84.0,3.0,2.0,Sales Executive,,  Married ,4639.0,Upto 5k,11262.0,,,No,15.0,3.0,3.0,80.0,1.0,5.0,2.0,3.0,5.0,4.0,1.0,2.0
RM1097,40.0,36-45,no,Travel_Rarely,898.0,Human Resources,6.0,2.0,Medical,1.0,1550.0,,Male,38.0,3.0,4.0,Manager,4.0,Single,16437.0,15k+,17381.0,1.0,Y,  Yes ,21.0,4.0,4.0,80.0,0.0,21.0,2.0,3.0,21.0,7.0,7.0,7.0
RM680,31.0,26-35,No,Non-Travel,1188.0,Sales,20.0,2.0,Marketing,1.0,947.0,,Female,45.0,3.0,2.0,Sales Executive,3.0,Married,6932.0,5k-10k,24406.0,1.0,Y,No,13.0,3.0,4.0,80.0,1.0,9.0,2.0,2.0,9.0,8.0,0.0,0.0
RM1079,unknown,36-45,  No ,Travel_Rarely,136.0,Research & Development,28.0,3.0,  Life Sciences ,1.0,1523.0,4.0,Male,32.0,,4.0,  Research Director ,1.0,Married,16328.0,15k+,22074.0,3.0,Y,No,13.0,3.0,3.0,80.0,1.0,24.0,1.0,4.0,20.0,6.0,14.0,
RM1404,39.0,36-45,No,Travel_Rarely,unknown,Sales,15.0,4.0,Marketing,1.0,1975.0,2.0,Male,77.0,3.0,4.0,Sales Executive,1.0,Single,13341.0,10k-15k,25098.0,0.0,y,no,12.0,3.0,1.0,80.0,0.0,21.0,3.0,3.0,20.0,8.0,11.0,10.0
RM982,35.0,26-35,Yes,travel_frequently,662.0,Sales,18.0,4.0,Marketing,1.0,1380.0,4.0,  Female ,67.0,3.0,2.0,  sales executive ,3.0,Married,4614.0,Upto 5k,23288.0,0.0,Y,yes,18.0,3.0,3.0,80.0,1.0,5.0,0.0,,4.0,2.0,3.0,2.0
RM881,32.0,26-35,No,Travel_Frequently,116.0,Research & Development,13.0,3.0,Other,1.0,1234.0,3.0,  Female ,77.0,,,Laboratory Technician,2.0,Married,2743.0,Upto 5k,7331.0,1.0,Y,No,20.0,4.0,3.0,80.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
,37.0,36-45,No,Travel_Rarely,1189.0,Sales,3.0,3.0,  Life Sciences ,unknown,152.0,3.0,Male,87.0,,3.0,Sales Executive,4.0,Single,7428.0,  5k-10k ,14506.0,2.0,Y,No,12.0,3.0,1.0,80.0,0.0,12.0,3.0,3.0,5.0,3.0,1.0,3.0
RM087,23.0,18-25,No,Travel_Rarely,541.0,sales,2.0,1.0,technical degree,1.0,113.0,3.0,  Male ,62.0,3.0,1.0,Sales Representative,,Divorced,2322.0,Upto 5k,9518.0,3.0,Y,No,13.0,3.0,3.0,80.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
RM424,30.0,  26-35 ,No,Non-Travel,1398.0,Sales,22.0,,,1.0,567.0,3.0,Female,69.0,3.0,3.0,Sales Executive,1.0,Married,8412.0,5k-10k,2890.0,0.0,Y,No,,3.0,3.0,80.0,0.0,10.0,3.0,3.0,9.0,8.0,7.0,8.0
RM1442,56.0,  55+ ,No,  Non-Travel ,667.0,Research & Development,1.0,4.0,Life Sciences,1.0,2026.0,3.0,Male,57.0,3.0,2.0,Healthcare Representative,3.0,Divorced,6306.0,5k-10k,26236.0,1.0,  Y ,No,21.0,4.0,1.0,80.0,1.0,13.0,2.0,2.0,13.0,,1.0,9.0
RM534,40.0,36-45,No,Travel_Frequently,580.0,  nan ,5.0,4.0,Life Sciences,1.0,729.0,4.0,Male,,2.0,3.0,sales executive,1.0,Married,10475.0,10k-15k,23772.0,5.0,Y,,21.0,4.0,3.0,80.0,1.0,20.0,2.0,3.0,18.0,13.0,1.0,12.0
RM838,40.0,  36-45 ,No,Travel_Frequently,593.0,Research & Development,9.0,4.0,Medical,1.0,1166.0,2.0,female,88.0,3.0,3.0,  Research Director ,,Single,13499.0,10k-15k,13782.0,9.0,Y,no,17.0,,,80.0,0.0,20.0,3.0,2.0,18.0,7.0,2.0,13.0
rm856,37.0,36-45,No,Travel_Rarely,977.0,,1.0,3.0,life sciences,1.0,1196.0,4.0,Female,56.0,2.0,2.0,Manufacturing Director,4.0,Married,6474.0,5k-10k,9961.0,1.0,Y,No,,3.0,2.0,80.0,1.0,14.0,2.0,2.0,14.0,,3.0,11.0
RM1462,50.0,46-55,Yes,Travel_Rarely,,Sales,,3.0,Marketing,1.0,2055.0,4.0,Male,39.0,2.0,3.0,Sales Executive,1.0,  Divorced ,10854.0,10k-15k,16586.0,4.0,Y,Yes,13.0,3.0,2.0,80.0,1.0,20.0,3.0,3.0,3.0,2.0,2.0,0.0
RM1006,29.0,26-35,No,travel_rarely,332.0,Human Resources,17.0,3.0,,1.0,1419.0,2.0,,51.0,2.0,3.0,Human Resources,1.0,Single,7988.0,5k-10k,9769.0,1.0,y,no,13.0,3.0,1.0,80.0,0.0,10.0,3.0,,10.0,9.0,0.0,9.0
RM775,55.0,  46-55 ,No,Non-Travel,444.0,Research & Development,unknown,1.0,Medical,1.0,,3.0,,40.0,2.0,4.0,Manager,1.0,Single,16756.0,15k+,17323.0,7.0,Y,No,15.0,,2.0,80.0,0.0,31.0,3.0,4.0,,7.0,6.0,2.0
RM679,48.0,  46-55 ,No,Travel_Rarely,1469.0,Research & Development,20.0,4.0,Medical,1.0,945.0,4.0,Male,51.0,3.0,1.0,Research Scientist,3.0,Married,2259.0,upto 5k,5543.0,4.0,Y,,17.0,3.0,1.0,80.0,2.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0
  RM931 ,51.0,  46-55 ,No,Travel_Frequently,968.0,Research & Development,6.0,2.0,Medical,1.0,1297.0,2.0,Female,40.0,2.0,1.0,Laboratory Technician,3.0,,,Upto 5k,4257.0,0.0,Y,No,14.0,3.0,2.0,80.0,0.0,8.0,6.0,2.0,7.0,0.0,7.0,7.0
RM512,36.0,36-45,No,travel_rarely,913.0,Research & Development,9.0,2.0,Medical,1.0,699.0,2.0,Male,48.0,2.0,2.0,  Manufacturing Director ,2.0,  Divorced ,8847.0,5k-10k,13934.0,2.0,Y,Yes,11.0,3.0,3.0,80.0,1.0,13.0,2.0,3.0,3.0,2.0,0.0,2.0
,31.0,,No,  Travel_Rarely ,329.0,,1.0,2.0,  Life Sciences ,1.0,530.0,4.0,Male,98.0,2.0,1.0,Laboratory Technician,1.0,Married,2218.0,upto 5k,16193.0,1.0,Y,No,12.0,3.0,3.0,80.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0
RM251,37.0,36-45,  yes ,,504.0,research & development,10.0,3.0,Medical,1.0,342.0,1.0,Male,61.0,3.0,3.0,Manufacturing Director,3.0,Divorced,10048.0,10k-15k,22573.0,6.0,Y,no,11.0,3.0,2.0,80.0,2.0,17.0,5.0,3.0,1.0,0.0,0.0,
RM794,28.0,26-35,No,,895.0,Research & Development,15.0,2.0,Life Sciences,1.0,1102.0,1.0,Male,50.0,3.0,1.0,Laboratory Technician,3.0,Divorced,2207.0,  Upto 5k ,22482.0,1.0,y,No,16.0,3.0,4.0,80.0,1.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0
RM1025,47.0,46-55,No,Travel_Rarely,359.0,Research & Development,2.0,4.0,Medical,1.0,1443.0,1.0,  Female ,82.0,3.0,4.0,Research Director,3.0,married,17169.0,15k+,26703.0,3.0,Y,No,19.0,3.0,2.0,80.0,2.0,26.0,2.0,4.0,20.0,17.0,5.0,6.0
RM023,34.0,26-35,No,TravelRarely,419.0,Research & Development,7.0,unknown,Life Sciences,1.0,28.0,1.0,Female,53.0,3.0,3.0,,2.0,  Single ,11994.0,10k-15k,21293.0,0.0,y,No,11.0,3.0,3.0,80.0,0.0,13.0,4.0,3.0,12.0,6.0,2.0,
RM1358,42.0,36-45,no,Travel_Rarely,1396.0,Research & Development,6.0,3.0,medical,1.0,1911.0,3.0,Male,83.0,3.0,3.0,Research Director,1.0,Married,13348.0,10k-15k,14842.0,9.0,Y,nan,13.0,3.0,2.0,80.0,1.0,18.0,3.0,4.0,13.0,7.0,5.0,7.0
RM1322,47.0,  46-55 ,,travel_rarely,207.0,Research & Development,9.0,4.0,Life Sciences,1.0,,,Female,64.0,3.0,1.0,Laboratory Technician,3.0,Single,2105.0,Upto 5k,5411.0,4.0,Y,No,12.0,3.0,3.0,80.0,0.0,7.0,2.0,3.0,2.0,2.0,2.0,
RM037,50.0,46-55,Yes,Travel_Rarely,869.0,Sales,3.0,2.0,Marketing,1.0,47.0,1.0,Male,86.0,2.0,1.0,Sales Representative,3.0,  Married ,2683.0,Upto 5k,3810.0,1.0,Y,Yes,14.0,3.0,3.0,80.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0
rm649,37.0,36-45,No,Travel_Frequently,1231.0,Sales,21.0,2.0,  Medical ,1.0,900.0,3.0,Female,54.0,3.0,,Sales Representative,4.0,Married,2973.0,upto 5k,21222.0,5.0,  Y ,No,,3.0,2.0,80.0,1.0,10.0,3.0,3.0,5.0,4.0,0.0,0.0
RM901,,36-45,No,travel_frequently,469.0,  Research & Development ,3.0,3.0,technical degree,1.0,1257.0,3.0,Male,46.0,3.0,1.0,Research Scientist,2.0,Married,3692.0,,9256.0,1.0,y,No,12.0,3.0,3.0,80.0,0.0,12.0,2.0,2.0,11.0,10.0,0.0,7.0
RM677,35.0,26-35,  No ,Travel_Rarely,1137.0,Research & Development,21.0,1.0,Life Sciences,1.0,942.0,4.0,Female,51.0,3.0,2.0,Healthcare Representative,4.0,Married,4014.0,,19170.0,1.0,Y,Yes,25.0,4.0,4.0,80.0,1.0,10.0,2.0,1.0,10.0,6.0,0.0,7.0
RM1193,,46-55,,Travel_Rarely,464.0,Research & Development,16.0,3.0,Medical,1.0,1674.0,4.0,Female,74.0,3.0,1.0,Laboratory Technician,1.0,Divorced,2587.0,Upto 5k,24941.0,4.0,Y,Yes,16.0,3.0,2.0,80.0,1.0,17.0,2.0,2.0,2.0,,2.0,2.0
RM183,41.0,36-45,Yes,travel_rarely,1356.0,Sales,20.0,2.0,  Marketing ,1.0,248.0,2.0,Female,70.0,3.0,1.0,Sales Representative,2.0,Single,,upto 5k,21728.0,1.0,Y,Yes,22.0,4.0,4.0,80.0,0.0,4.0,5.0,2.0,4.0,,0.0,
RM415,24.0,18-25,Yes,Travel_Rarely,,sales,1.0,1.0,Technical Degree,1.0,554.0,1.0,Female,62.0,3.0,1.0,  Sales Representative ,2.0,Single,3202.0,Upto 5k,,1.0,y,Yes,16.0,3.0,2.0,80.0,0.0,6.0,4.0,,5.0,3.0,1.0,4.0
rm991,33.0,26-35,,Travel_Frequently,1111.0,Sales,5.0,1.0,,1.0,1395.0,2.0,Male,,,2.0,sales executive,4.0,  Married ,9998.0,5k-10k,19293.0,6.0,Y,No,13.0,3.0,1.0,80.0,0.0,8.0,2.0,4.0,5.0,4.0,1.0,2.0
RM863,44.0,36-45,No,Non-Travel,111.0,Research & Development,17.0,,Life Sciences,1.0,1206.0,4.0,Male,74.0,1.0,1.0,Research Scientist,3.0,Single,2290.0,Upto 5k,4279.0,2.0,Y,  No ,,3.0,4.0,80.0,0.0,6.0,3.0,3.0,0.0,,0.0,0.0
  RM342 ,38.0,36-45,No,  Travel_Rarely ,343.0,Research & Development,15.0,2.0,Life Sciences,1.0,461.0,3.0,Male,92.0,2.0,3.0,Research Director,4.0,Divorced,11510.0,  10k-15k ,15682.0,0.0,y,Yes,14.0,3.0,2.0,80.0,1.0,12.0,3.0,3.0,11.0,,2.0,9.0
RM1367,,36-45,  No ,Non-Travel,1251.0,  Sales ,21.0,4.0,Life Sciences,,1929.0,,  Female ,32.0,1.0,2.0,Sales Executive,3.0,Married,5736.0,  5k-10k ,3987.0,6.0,Y,No,19.0,3.0,3.0,80.0,1.0,10.0,1.0,3.0,3.0,2.0,1.0,2.0
RM289,26.0,26-35,Yes,Travel_Rarely,1449.0,Research & Development,16.0,4.0,Medical,1.0,394.0,1.0,Male,45.0,3.0,1.0,Laboratory Technician,2.0,Divorced,2373.0,Upto 5k,14180.0,2.0,Y,Yes,13.0,3.0,4.0,,1.0,5.0,2.0,3.0,3.0,2.0,0.0,2.0
rm249,unknown,36-45,No,,1017.0,Research & Development,unknown,2.0,  Medical ,1.0,340.0,3.0,Female,83.0,2.0,1.0,Research Scientist,1.0,Married,3920.0,Upto 5k,18697.0,2.0,Y,No,14.0,3.0,1.0,80.0,1.0,17.0,2.0,2.0,3.0,1.0,0.0,
RM341,37.0,  36-45 ,  No ,Travel_Rarely,1192.0,Research & Development,5.0,2.0,Medical,1.0,460.0,4.0,Male,61.0,3.0,2.0,,4.0,Divorced,6347.0,5k-10k,,7.0,Y,No,16.0,3.0,3.0,80.0,2.0,,2.0,2.0,6.0,2.0,0.0,4.0
RM1370,28.0,26-35,Yes,Travel_Rarely,1475.0,Sales,13.0,2.0,Marketing,1.0,1933.0,4.0,Female,84.0,3.0,2.0,Sales Executive,,single,9854.0,5k-10k,23352.0,3.0,,Yes,11.0,3.0,4.0,80.0,0.0,6.0,,3.0,2.0,0.0,,2.0
RM596,58.0,55+,Yes,Travel_Rarely,286.0,Research & Development,,4.0,Life Sciences,unknown,825.0,4.0,Male,31.0,3.0,5.0,Research Director,2.0,Single,19246.0,15k+,25761.0,7.0,y,Yes,12.0,3.0,4.0,80.0,0.0,40.0,2.0,3.0,31.0,15.0,13.0,8.0
RM519,38.0,36-45,No,Travel_Rarely,243.0,Sales,7.0,4.0,Marketing,1.0,709.0,4.0,,46.0,2.0,2.0,sales executive,4.0,Single,4028.0,Upto 5k,7791.0,0.0,Y,No,20.0,4.0,1.0,80.0,0.0,8.0,2.0,3.0,7.0,7.0,0.0,5.0
RM336,40.0,36-45,No,Travel_Rarely,1124.0,,1.0,2.0,Medical,1.0,453.0,2.0,Male,57.0,1.0,2.0,Sales Executive,4.0,Married,7457.0,5k-10k,13273.0,2.0,Y,Yes,22.0,4.0,3.0,80.0,,6.0,2.0,2.0,4.0,,0.0,2.0
rm560,38.0,36-45,no,Travel_Rarely,268.0,Research & Development,2.0,5.0,Medical,1.0,,4.0,Male,92.0,3.0,1.0,Research Scientist,3.0,Married,3057.0,Upto 5k,20471.0,6.0,Y,Yes,13.0,3.0,2.0,80.0,1.0,6.0,,1.0,1.0,0.0,0.0,1.0
rm1396,31.0,,,,754.0,sales,26.0,4.0,Marketing,1.0,1967.0,1.0,,63.0,3.0,2.0,Sales Executive,4.0,Married,5617.0,5k-10k,21075.0,1.0,Y,,11.0,3.0,3.0,80.0,0.0,10.0,4.0,3.0,10.0,7.0,0.0,8.0
